Date,Location,Variety,Price,Year,Month,Quarter,Day_of_year,Season,Is_Yala,Is_Maha,Price_lag1,Price_lag2,Price_lag3,Price_lag6,Price_lag12,Rolling_Mean_3,Rolling_Mean_6,Rolling_Mean_12,Rolling_Std_3,Rolling_Std_6,Price_vs_3MA,Price_vs_6MA,Price_Change_1m,Price_Change_3m,YoY_Price,YoY_Change,YoY_Change_Pct
2005-12-15,Dambulla,BITTER GOURD,43.93,2005,12,4,349,Yala,1,0,37.76,31.25,31.6,31.0,41.4,37.64666666666667,34.29833333333333,29.785,6.340759681089767,5.5203891771021425,6.283333333333331,9.631666666666668,0.16340042372881358,0.3901898734177214,41.4,2.530000000000001,6.111111111111114
2006-01-15,Dambulla,BITTER GOURD,26.73,2006,1,1,15,Yala,1,0,43.93,37.76,31.25,32.05,29.9,36.14,33.41166666666667,29.520833333333332,8.713684639691765,6.3226748031720295,-9.41,-6.681666666666668,-0.39153198269974954,-0.14464,29.9,-3.169999999999998,-10.602006688963204
2006-02-15,Dambulla,BITTER GOURD,23.3,2006,2,1,46,Yala,1,0,26.73,43.93,37.76,29.2,22.7,31.320000000000004,32.428333333333335,29.57083333333333,11.054424453584188,7.464410001243666,-8.020000000000003,-9.128333333333334,-0.1283202394313505,-0.38294491525423724,22.7,0.6000000000000014,2.643171806167407
2006-03-15,Dambulla,BITTER GOURD,12.95,2006,3,1,74,Maha,0,1,23.3,26.73,43.93,31.6,28.55,20.993333333333336,29.320000000000004,28.270833333333332,7.1737461157566145,10.94838800920025,-8.043333333333337,-16.370000000000005,-0.4442060085836911,-0.7052128386068746,28.55,-15.600000000000001,-54.64098073555167
2006-04-15,Dambulla,BITTER GOURD,12.0,2006,4,2,105,Maha,0,1,12.95,23.3,26.73,31.25,16.8,16.083333333333332,26.111666666666668,27.870833333333334,6.267841201987569,12.913814954019841,-4.083333333333332,-14.111666666666668,-0.07335907335907332,-0.5510662177328844,16.8,-4.800000000000001,-28.571428571428577
2006-05-15,Dambulla,BITTER GOURD,28.52,2006,5,2,135,Maha,0,1,12.0,12.95,23.3,37.76,22.68,17.823333333333334,24.57166666666667,28.3575,9.275755135477274,11.744955370995095,10.696666666666665,3.9483333333333306,1.3766666666666665,0.2240343347639484,22.68,5.84,25.749559082892414
2006-06-15,Dambulla,BITTER GOURD,31.07,2006,6,2,166,Intermediate1,0,0,28.52,12.0,12.95,43.93,31.0,23.863333333333333,22.42833333333333,28.363333333333333,10.352759696493163,8.119604464914934,7.206666666666667,8.64166666666667,0.08941093969144465,1.3992277992277993,31.0,0.07000000000000028,0.22580645161290416
2006-07-15,Dambulla,BITTER GOURD,32.35,2006,7,3,196,Intermediate1,0,0,31.07,28.52,12.0,26.73,32.05,30.646666666666665,23.365,28.388333333333332,1.949777765114125,8.992340629669222,1.7033333333333367,8.985000000000003,0.04119729642742209,1.6958333333333333,32.05,0.30000000000000426,0.9360374414976733
2006-08-15,Dambulla,BITTER GOURD,24.15,2006,8,3,227,Intermediate1,0,0,32.35,31.07,28.52,23.3,29.2,29.189999999999998,23.506666666666664,27.9675,4.4114396743013575,8.99780565841842,-5.039999999999999,0.6433333333333344,-0.2534775888717157,-0.153225806451613,29.2,-5.050000000000001,-17.294520547945208
2006-09-15,Dambulla,BITTER GOURD,26.7,2006,9,3,258,Intermediate2,0,0,24.15,32.35,31.07,12.95,31.6,27.733333333333334,25.798333333333332,27.559166666666666,4.196526341312938,7.376263055685211,-1.033333333333335,0.9016666666666673,0.10559006211180133,-0.14065014483424532,31.6,-4.900000000000002,-15.506329113924055
2006-10-15,Dambulla,BITTER GOURD,31.36,2006,10,4,288,Intermediate2,0,0,26.7,24.15,32.35,12.0,31.25,27.403333333333332,29.025000000000002,27.56833333333333,3.6560953671004452,3.165948515058297,3.956666666666667,2.3349999999999973,0.17453183520599258,-0.030602782071097456,31.25,0.10999999999999943,0.3519999999999982
2006-11-15,Dambulla,BITTER GOURD,46.25,2006,11,4,319,Intermediate2,0,0,31.36,26.7,24.15,28.52,37.76,34.77,31.98,28.275833333333335,10.211351526609993,7.67032724204123,11.479999999999997,14.27,0.4748086734693877,0.9151138716356109,37.76,8.490000000000002,22.48411016949153
2006-12-15,Dambulla,BITTER GOURD,56.2,2006,12,4,349,Yala,1,0,46.25,31.36,26.7,31.07,43.93,44.60333333333333,36.16833333333333,29.298333333333332,12.501601230775757,12.447466274976065,11.596666666666671,20.031666666666673,0.21513513513513516,1.1048689138576782,43.93,12.270000000000003,27.930798998406566
2007-01-15,Dambulla,BITTER GOURD,53.2,2007,1,1,15,Yala,1,0,56.2,46.25,31.36,32.35,26.73,51.88333333333333,39.64333333333334,31.504166666666666,5.10400169801442,13.983857360065802,1.31666666666667,13.556666666666665,-0.053380782918149516,0.6964285714285716,26.73,26.470000000000002,99.02731013842126
2007-02-15,Dambulla,BITTER GOURD,40.95,2007,2,1,46,Yala,1,0,53.2,56.2,46.25,24.15,23.3,50.11666666666667,42.443333333333335,32.975,8.079036658744284,11.76745795261944,-9.166666666666664,-1.4933333333333323,-0.23026315789473684,-0.11459459459459453,23.3,17.650000000000002,75.7510729613734
2007-03-15,Dambulla,BITTER GOURD,21.53,2007,3,1,74,Maha,0,1,40.95,53.2,56.2,26.7,12.95,38.56,41.58166666666667,33.690000000000005,15.969699433614911,13.24707879748084,-17.03,-20.05166666666667,-0.4742368742368742,-0.6169039145907473,12.95,8.580000000000002,66.25482625482627
