Vegetable_Name,Week_Start,ISO_Year,ISO_Week,Is_Train,Time_Index
Bitter Gourd,2015-04-20,2015,17,True,277
Bitter Gourd,2015-04-27,2015,18,True,278
Bitter Gourd,2015-05-04,2015,19,True,279
Bitter Gourd,2015-05-11,2015,20,True,280
Bitter Gourd,2015-05-18,2015,21,True,281
Bitter Gourd,2015-05-25,2015,22,True,282
Bitter Gourd,2015-06-01,2015,23,True,283
Bitter Gourd,2015-06-08,2015,24,True,284
Bitter Gourd,2015-06-15,2015,25,True,285
Bitter Gourd,2015-06-22,2015,26,True,286
Bitter Gourd,2015-06-29,2015,27,True,287
Bitter Gourd,2015-07-06,2015,28,True,288
Bitter Gourd,2015-07-13,2015,29,True,289
Bitter Gourd,2015-07-20,2015,30,True,290
Bitter Gourd,2015-07-27,2015,31,True,291
Bitter Gourd,2015-08-03,2015,32,True,292
Bitter Gourd,2015-08-10,2015,33,True,293
Bitter Gourd,2015-08-17,2015,34,True,294
Bitter Gourd,2015-08-24,2015,35,True,295
Bitter Gourd,2015-08-31,2015,36,True,296
Bitter Gourd,2015-09-07,2015,37,True,297
Bitter Gourd,2015-09-14,2015,38,True,298
Bitter Gourd,2015-09-21,2015,39,True,299
Bitter Gourd,2015-09-28,2015,40,True,300
Bitter Gourd,2015-10-05,2015,41,True,301
Bitter Gourd,2015-10-12,2015,42,True,302
Bitter Gourd,2015-10-19,2015,43,True,303
Bitter Gourd,2015-10-26,2015,44,True,304
Bitter Gourd,2015-11-02,2015,45,True,305
Bitter Gourd,2015-11-09,2015,46,True,306
Bitter Gourd,2015-11-16,2015,47,True,307
Bitter Gourd,2015-11-23,2015,48,True,308
Bitter Gourd,2015-11-30,2015,49,True,309
Bitter Gourd,2015-12-07,2015,50,True,310
Bitter Gourd,2015-12-14,2015,51,True,311
Bitter Gourd,2015-12-21,2015,52,True,312
Bitter Gourd,2015-12-28,2015,53,True,313
Bitter Gourd,2016-01-04,2016,1,True,314
Bitter Gourd,2016-01-11,2016,2,True,315
Bitter Gourd,2016-01-18,2016,3,True,316
Bitter Gourd,2016-01-25,2016,4,True,317
Bitter Gourd,2016-02-01,2016,5,True,318
Bitter Gourd,2016-02-08,2016,6,True,319
Bitter Gourd,2016-02-15,2016,7,True,320
Bitter Gourd,2016-02-22,2016,8,True,321
Bitter Gourd,2016-02-29,2016,9,True,322
Bitter Gourd,2016-03-07,2016,10,True,323
Bitter Gourd,2016-03-14,2016,11,True,324
Bitter Gourd,2016-03-21,2016,12,True,325
Bitter Gourd,2016-03-28,2016,13,True,326
Bitter Gourd,2016-04-04,2016,14,True,327
Bitter Gourd,2016-04-11,2016,15,True,328
Bitter Gourd,2016-04-18,2016,16,True,329
Bitter Gourd,2016-04-25,2016,17,True,330
Bitter Gourd,2016-05-02,2016,18,True,331
Bitter Gourd,2016-05-09,2016,19,True,332
Bitter Gourd,2016-05-16,2016,20,True,333
Bitter Gourd,2016-05-23,2016,21,True,334
Bitter Gourd,2016-05-30,2016,22,True,335
Bitter Gourd,2016-06-06,2016,23,True,336
Bitter Gourd,2016-06-13,2016,24,True,337
Bitter Gourd,2016-06-20,2016,25,True,338
Bitter Gourd,2016-06-27,2016,26,True,339
Bitter Gourd,2016-07-04,2016,27,True,340
Bitter Gourd,2016-07-11,2016,28,True,341
Bitter Gourd,2016-07-18,2016,29,True,342
Bitter Gourd,2016-07-25,2016,30,True,343
Bitter Gourd,2016-08-01,2016,31,True,344
Bitter Gourd,2016-08-08,2016,32,True,345
Bitter Gourd,2016-08-15,2016,33,True,346
Bitter Gourd,2016-08-22,2016,34,True,347
Bitter Gourd,2016-08-29,2016,35,True,348
Bitter Gourd,2016-09-05,2016,36,True,349
Bitter Gourd,2016-09-12,2016,37,True,350
Bitter Gourd,2016-09-19,2016,38,True,351
Bitter Gourd,2016-09-26,2016,39,True,352
Bitter Gourd,2016-10-03,2016,40,True,353
Bitter Gourd,2016-10-10,2016,41,True,354
Bitter Gourd,2016-10-17,2016,42,True,355
Bitter Gourd,2016-10-24,2016,43,True,356
Bitter Gourd,2016-10-31,2016,44,True,357
Bitter Gourd,2016-11-07,2016,45,True,358
Bitter Gourd,2016-11-14,2016,46,True,359
Bitter Gourd,2016-11-21,2016,47,True,360
Bitter Gourd,2016-11-28,2016,48,True,361
Bitter Gourd,2016-12-05,2016,49,True,362
Bitter Gourd,2016-12-12,2016,50,True,363
Bitter Gourd,2016-12-19,2016,51,True,364
Bitter Gourd,2016-12-26,2016,52,True,365
Bitter Gourd,2017-01-02,2017,1,True,366
Bitter Gourd,2017-01-09,2017,2,True,367
Bitter Gourd,2017-01-16,2017,3,True,368
Bitter Gourd,2017-01-23,2017,4,True,369
Bitter Gourd,2017-01-30,2017,5,True,370
Bitter Gourd,2017-02-06,2017,6,True,371
Bitter Gourd,2017-02-13,2017,7,True,372
Bitter Gourd,2017-02-20,2017,8,True,373
Bitter Gourd,2017-02-27,2017,9,True,374
Bitter Gourd,2017-03-06,2017,10,True,375
Bitter Gourd,2017-03-13,2017,11,True,376
Bitter Gourd,2017-03-20,2017,12,True,377
Bitter Gourd,2017-03-27,2017,13,True,378
Bitter Gourd,2017-04-03,2017,14,True,379
Bitter Gourd,2017-04-10,2017,15,True,380
Bitter Gourd,2017-04-17,2017,16,True,381
Bitter Gourd,2017-04-24,2017,17,True,382
Bitter Gourd,2017-05-01,2017,18,True,383
Bitter Gourd,2017-05-08,2017,19,True,384
Bitter Gourd,2017-05-15,2017,20,True,385
Bitter Gourd,2017-05-22,2017,21,True,386
Bitter Gourd,2017-05-29,2017,22,True,387
Bitter Gourd,2017-06-05,2017,23,True,388
Bitter Gourd,2017-06-12,2017,24,True,389
