year,week,vegetable,price,Badulla_actual_class,Hambantota_actual_class,Jaffna_actual_class,Kurunegala_actual_class,Matale_actual_class,Nuwara_Eliya_actual_class,Ratnapura_actual_class,Badulla_prob_drought,Hambantota_prob_drought,Jaffna_prob_drought,Kurunegala_prob_drought,Matale_prob_drought,Nuwara_Eliya_prob_drought,Ratnapura_prob_drought,Badulla_prob_flood_risk,Hambantota_prob_flood_risk,Jaffna_prob_flood_risk,Kurunegala_prob_flood_risk,Matale_prob_flood_risk,Nuwara_Eliya_prob_flood_risk,Ratnapura_prob_flood_risk,Badulla_prob_normal,Hambantota_prob_normal,Jaffna_prob_normal,Kurunegala_prob_normal,Matale_prob_normal,Nuwara_Eliya_prob_normal,Ratnapura_prob_normal,USD_LKR_avg,RateChange_avg,week_num,year_week
2023,W48,Cabbage,280.0,flood_risk,normal,normal,normal,flood_risk,flood_risk,normal,0.7057130773474468,0.0001164782857142,0.0001090167142857,0.0001120628571428,0.0001358581428571,0.0001634457142857,0.0001090167142857,0.1292336041984878,0.0008928215714285,0.0007274304285714,0.0007423138571428,0.2725940640237183,0.2605543831258582,0.0007274304285714,0.1650533183022736,0.9989907001300844,0.999163552903474,0.9991456235027008,0.7272700780237401,0.7392821713522448,0.999163552903474,327.75,-0.14,48,202348
2023,W49,Cabbage,274.0,flood_risk,flood_risk,flood_risk,flood_risk,normal,flood_risk,flood_risk,0.0001586562857142,0.0001455047142857,0.0001268392857142,0.000143471,0.0001202224285714,0.0001244055714285,0.0001291307142857,0.1359997083388411,0.1311956161393978,0.1393675084062255,0.1736552999182107,0.0008868575714285,0.1388812530507326,0.1394817187896904,0.8638416354159457,0.8686588791970377,0.8605056522196678,0.8262012290536677,0.9989929201116609,0.8609943413566331,0.8603891503268545,326.75,-0.31,49,202349
2023,W50,Cabbage,296.0,flood_risk,flood_risk,flood_risk,flood_risk,flood_risk,flood_risk,flood_risk,0.0001371191428571,0.0001354454285714,0.0001172932857142,0.0001421448571428,0.0001272541428571,0.0001268534285714,0.000117301,0.2798101864802045,0.2753166915559034,0.4229444389956854,0.2716633994948242,0.5164332238452688,0.4200966773043736,0.4229335341031371,0.7200526941535578,0.7245478629911817,0.5769382675009666,0.7281944557473875,0.4834395219973241,0.579776469260687,0.5769491647301744,326.85,0.03,50,202350
2023,W51,Cabbage,322.0,flood_risk,flood_risk,flood_risk,flood_risk,flood_risk,flood_risk,flood_risk,0.0001359601428571,0.0001202065714285,0.000113983,0.0001111724285714,0.0001223898571428,0.0001153044285714,0.0001139809999999,0.28013393174962,0.138863843797379,0.1414623658740271,0.1402705306717572,0.4024997170704628,0.2809829009977632,0.1414725971792231,0.7197301077383012,0.861015949447367,0.8584236511949902,0.859618296862713,0.5973778931505889,0.7189017944654471,0.8584134217850327,325.3,-0.47,51,202351
2023,W52,Cabbage,340.0,flood_risk,flood_risk,flood_risk,flood_risk,normal,flood_risk,flood_risk,0.0002268124285714,0.0001635147142857,0.0001321985714285,0.0001415048571428,0.0001230547142857,0.0001323241428571,0.0001321874285714,0.2641787116745679,0.3998910955976056,0.4012390147259306,0.3206941227311988,0.0007990462857142,0.4085209666985261,0.4034009791713216,0.7355944759810412,0.5999453897464866,0.5986287866190381,0.6791643723567535,0.9990778990412912,0.591346709082946,0.5964668333705071,323.8,-0.46,52,202352
2024,W1,Cabbage,370.0,drought,drought,drought,drought,drought,drought,drought,0.9932896611567088,0.9940612412815616,0.994480725452683,0.9943278083479627,0.9945528071459032,0.9676239227998552,0.9944620422308844,0.0008645291428571,0.000932757,0.00076296,0.000814797,0.0007045182857142,0.0013935022857142,0.0007644645714285,0.0058458098571428,0.0050060015714285,0.0047563142857142,0.0048573947142857,0.0047426741428571,0.0309825748520742,0.0047734928571428,322.0,-0.16,1,202401
2024,W2,Cabbage,428.0,drought,drought,drought,drought,drought,drought,drought,0.99387204103078,0.9941507001398906,0.994212612569634,0.9942123525592642,0.993697196687492,0.9807899700191166,0.9942310411599714,0.0008894705714285,0.0009445472857142,0.0008143871428571,0.0008251447142857,0.0007359015714285,0.0017722641428571,0.0008124251428571,0.0052384885714285,0.0049047525714285,0.0049730002857142,0.0049625028571428,0.0055669014202722,0.017437765888543,0.0049565335714285,320.1,-0.59,2,202402
2024,W3,Cabbage,638.0,drought,drought,drought,drought,drought,drought,drought,0.9940278575794684,0.9944447790239624,0.9941194538845952,0.994580765974728,0.9930188473499044,0.9683400718486964,0.994138840383726,0.0007041945714285,0.000704489,0.0007169075714285,0.0007045351428571,0.0007537107142857,0.0007003167142857,0.0007169122857142,0.0052679478571428,0.0048507317142857,0.0051636384285714,0.0047146988571428,0.0062274419373469,0.0309596114453572,0.0051442471428571,317.5,-0.81,3,202403
2024,W4,Cabbage,458.0,drought,drought,drought,drought,drought,drought,drought,0.9945030565039626,0.9944366898592584,0.994363438133296,0.9943945626666156,0.9943713714666816,0.9706093970149168,0.994363438133296,0.0007045688571428,0.0007045241428571,0.0007045342857142,0.000704429,0.0007046004285714,0.0007044224285714,0.0007045342857142,0.0047923748571428,0.0048587861428571,0.0049320275714285,0.0049010082857142,0.0049240284285714,0.0286861805725249,0.0049320275714285,311.5,-1.89,4,202404
2024,W5,Cabbage,614.0,drought,drought,drought,drought,drought,drought,drought,0.9945295371346522,0.9944878780715264,0.9940312321478524,0.994520906184049,0.994326918678522,0.982380782870192,0.994583654995808,0.000704499,0.0007045264285714,0.0007105288571428,0.0007043644285714,0.0007044421428571,0.0007124799999999,0.0007105917142857,0.0047659637142857,0.0048075954285714,0.0052582392857142,0.0047747294285714,0.0049686392857142,0.0169067372766081,0.0047057535714285,312.6,0.35,5,202405
