Weekly_Price,Start_Date,Data_Type,Weekly_Price_lag1,Weekly_Price_lag2,Weekly_Price_lag3,Rolling_Mean_4w,Rolling_Std_4w,Rolling_Mean_13w,Price_Change_lag1,Price_Change_Pct_lag1,Fuel_Price,Month_Sin,Month_Cos,Day_of_Year,Price_to_Fuel_Ratio,Price_to_Rolling_Mean_Ratio,Price_Std,Variety_encoded,Location_encoded,Season_encoded,Quarter_encoded,Price_Acceleration,High_Volatility_Regime,Positive_Momentum,Price_Position_4w,Fuel_Impact_Ratio,Trend_Consistency,Rolling_Mean_4w_scaled,Rolling_Std_4w_scaled,Fuel_Price_scaled
98.04,2019-04-29,Historical,91.74,86.87,83.58,90.06,6.29,81.17,4.86999999999999,5.606078047657408,104.0,0.8660254037844387,-0.4999999999999998,119,0.9426923076923076,1.0886075949367089,2.1,4,0,1,1,1.579999999999984,1,1,1.8683351468784737,0.06603109121088395,1.0,-0.4067364233557612,-0.2018339560086423,-0.0439199490107678
105.11,2019-05-06,Historical,98.04,91.74,86.87,95.44,7.9,83.26,6.300000000000011,6.867233485938534,104.0,0.4999999999999999,-0.8660254037844387,126,1.010673076923077,1.101320201173512,2.24,4,0,1,1,1.430000000000021,1,1,1.7742193754861957,0.0693398298966787,1.0,-0.3588595952136825,-0.0740239236437896,-0.0439199490107678
112.28,2019-05-13,Historical,105.11,98.04,91.74,101.79,8.87,86.08,7.069999999999993,7.211342309261519,104.0,0.4999999999999999,-0.8660254037844387,133,1.0796153846153846,1.1030553099518616,2.16,4,0,1,1,0.7699999999999818,1,1,1.660163624910886,0.06559062666943337,1.0,-0.3023506995441286,0.0029796362282022,-0.0439199490107678
118.86,2019-05-20,Historical,112.28,105.11,98.04,108.57,8.99,89.49,7.170000000000002,6.821425173627629,104.0,0.4999999999999999,-0.8660254037844387,140,1.1428846153846153,1.0947775628626693,1.9,4,0,1,1,0.10000000000000853,1,1,1.5559157212233616,0.0563495108382347,1.0,-0.2420152172386838,0.0125058498206137,-0.0439199490107678
124.73,2019-05-27,Historical,118.86,112.28,105.11,115.24,8.46,93.35,6.579999999999998,5.860349127182044,104.0,0.4999999999999999,-0.8660254037844387,147,1.199326923076923,1.0823498785144048,1.76,4,0,1,1,-0.5900000000000034,1,1,1.4792929292854589,0.047486376991631725,1.0,-0.182658629188932,-0.0295682602125364,-0.0439199490107678
130.56,2019-06-03,Historical,124.73,118.86,112.28,121.61,7.84,97.59,5.8700000000000045,4.938583207134448,104.0,1.2246467991473532e-16,-1.0,154,1.255384615384615,1.0735959213880435,1.87,4,0,2,1,-0.7099999999999937,1,1,1.4515640766828886,0.04494323122555792,1.0,-0.1259717527456157,-0.0787870304399953,-0.0439199490107678
137.18,2019-06-10,Historical,130.56,124.73,118.86,127.83,7.85,102.22,5.829999999999998,4.674096047462518,104.0,1.2246467991473532e-16,-1.0,161,1.3190384615384616,1.0731440194007666,2.24,4,0,2,1,-0.04000000000000625,1,1,1.4854620976039181,0.04875447775259267,1.0,-0.0706197321055173,-0.0779931793072944,-0.0439199490107678
145.4,2019-06-17,Historical,137.18,130.56,124.73,134.47,8.89,107.36,6.6200000000000045,5.070465686274513,104.0,1.2246467991473532e-16,-1.0,168,1.3980769230769232,1.081282070350264,2.87,4,0,2,1,0.7900000000000063,1,1,1.568382735301257,0.05761660704066593,1.0,-0.011530115216409,0.0045673384936042,-0.0439199490107678
155.58,2019-06-24,Historical,145.4,137.18,130.56,142.18,10.8,113.18,8.219999999999999,5.9921271322350185,104.0,1.2246467991473532e-16,-1.0,175,1.4959615384615386,1.0942467294978198,3.33,4,0,2,1,1.5999999999999943,1,1,1.651434127361928,0.06732091842126639,1.0,0.0570814730689863,0.1561929048394854,-0.0439199490107678
166.05,2019-07-01,Historical,155.58,145.4,137.18,151.05,12.51,119.69,10.180000000000009,7.001375515818436,104.0,-0.4999999999999997,-0.8660254037844388,182,1.5966346153846156,1.099304865938431,3.03,4,0,2,2,1.9600000000000097,1,1,1.6459948320342548,0.06470823815591985,1.0,0.1360159462325994,0.2919414485313475,-0.0439199490107678
174.22,2019-07-08,Historical,166.05,155.58,145.4,160.31,12.53,126.66,10.47,6.729656768222135,104.0,-0.4999999999999997,-0.8660254037844388,189,1.6751923076923076,1.086769384317884,1.92,4,0,2,2,0.28999999999999204,0,1,1.5383126934924987,0.04730966113075377,1.0,0.2184210444845787,0.2935291507967493,-0.0439199490107678
177.48,2019-07-15,Historical,174.22,166.05,155.58,168.33,9.77,133.63,8.169999999999987,4.920204757603123,104.0,-0.4999999999999997,-0.8660254037844388,196,1.7065384615384611,1.054357512029941,0.29,4,0,2,2,-2.300000000000013,0,1,1.349904397700382,0.017992282083643455,1.0,0.2897913347632909,0.0744262381712876,-0.0439199490107678
