price_acceleration,variety_encoded,high_volatility_regime,date,fuel_impact_ratio,year,month_sin,weekly_price_lag2,rolling_mean_4w,weekly_price_lag3,price_to_fuel_ratio,price_position_4w,vegetable,rolling_mean_13w,price_to_rolling_mean_ratio,price_deviation_from_veg_avg,rolling_std_4w,data_type,day_of_year,rolling_std_4w_scaled,rolling_mean_4w_scaled,week_number,weekly_price_lag1,price_change_lag1,price_change_pct_lag1,month,weekly_price,weekly_arrival_sum,avg_daily_arrival,weekly_sales_sum,avg_daily_sales,avg_weekly_price,weekly_supply_status,supply_demand_ratio,price_volatility,arrival_volatility,utilization_rate
-10.869999999999951,1,1,2021-02-22,-0.1075494484453817,2021,0.8660254037844386,281.09,266.08,290.16,2.230192307692308,-2.1074074073944,Brinjals,208.42,0.8716927239927842,98.92570034456357,25.79,Historical,53,1.3461757527582068,1.159672366526895,4,261.15,-19.94,-7.093813369383471,2,231.94,,,,,,,,,,
-9.269999999999978,1,1,2021-03-01,-0.1398322510462236,2021,1.0,261.15,243.1,281.09,1.9058653846153848,-1.1457376212324002,Brinjals,214.98,0.8153434800493624,65.19570034456356,36.1,Historical,60,2.1646362705728843,0.9551724574739272,1,231.94,-29.20999999999998,-11.185142638330454,3,198.21,,,,,,,,,,
-4.52000000000001,1,1,2021-03-08,-0.149220135598076,2021,1.0,231.94,214.69,261.15,1.6100961538461538,-0.7246510200939952,Brinjals,219.39,0.7799618053938236,34.43570034456354,40.66,Historical,67,2.5266323870845167,0.7023507683444745,2,198.21,-33.72999999999999,-14.542554108821244,3,167.45,,,,,,,,,,
2.9699999999999704,1,0,2021-03-15,-0.1155913361048111,2021,1.0,198.21,186.23,231.94,1.4165384615384615,-0.487288666248607,Brinjals,221.78,0.7910648123288407,14.305700344563547,36.97,Historical,74,2.2337013191178667,0.4490841272806157,3,167.45,-30.76000000000002,-15.51889410221483,3,147.32,,,,,,,,,,
10.630000000000024,1,0,2021-03-22,-0.0177530859040327,2021,1.0,167.45,164.4,198.21,1.390384615384615,-0.2515883100377999,Brinjals,222.5,0.8795620437956204,11.585700344563548,24.74,Historical,81,1.2628213838246072,0.2548181127189843,4,147.32,-20.129999999999995,-12.021498954911912,3,144.6,,,,,,,,,,
17.409999999999997,1,0,2021-03-29,0.0887062453451642,2021,1.0,147.32,154.33,167.45,1.518653846153846,0.0598078197480782,Brinjals,221.82,1.023391433940258,24.925700344563552,10.47,Historical,88,0.1299958174603541,0.1652047931296288,5,144.6,-2.719999999999999,-1.8463209340211777,3,157.94,,,,,,,,,,
16.060000000000002,1,1,2021-04-05,0.1285785254379687,2021,0.8660254037844387,144.6,157.23,147.32,1.7217307692307693,0.7752351097154384,Brinjals,219.87,1.1388411880684348,46.04570034456356,15.65,Historical,95,0.5412107041994453,0.1910120053251729,1,157.94,13.340000000000003,9.22544951590595,4,179.06,,,,,,,,,,
7.780000000000001,1,0,2021-04-12,0.1079891570508201,2021,0.8660254037844387,157.94,170.19,144.6,1.9150961538461533,2.827238335417232,Brinjals,216.61,1.1702802749867791,66.15570034456354,23.97,Historical,102,1.2016948466066342,0.3063435467231916,2,179.06,21.120000000000005,13.37216664556161,4,199.17,,,,,,,,,,
-1.010000000000019,1,0,2021-04-19,0.050208364713513,2021,0.8660254037844387,179.06,186.44,157.94,2.015096153846154,1.7203363438127677,Brinjals,211.91,1.124061360223128,76.55570034456355,22.83,Historical,109,1.111195817478726,0.4509529254051208,3,199.17,20.109999999999985,11.230872333296094,4,209.57,,,,,,,,,,
-9.70999999999998,1,0,2021-04-26,-0.0168843896476506,2021,0.8660254037844387,199.17,198.42,179.06,1.9797115384615385,1.1813546977393024,Brinjals,205.66,1.0376474145751435,72.87570034456354,13.61,Historical,116,0.3792650731284517,0.5575634088887829,4,209.57,10.400000000000006,5.221669930210377,4,205.89,,,,,,,,,,
-14.080000000000013,1,0,2021-05-03,-0.0594043869578778,2021,0.4999999999999999,209.57,201.95,199.17,1.857403846153846,0.7235516372773187,Brinjals,198.2,0.9565238920524882,60.15570034456354,7.27,Historical,123,-0.1240365450039494,0.588977015457842,1,205.89,-3.680000000000007,-1.755976523357354,5,193.17,,,,,,,,,,
-9.039999999999994,1,0,2021-05-10,-0.0722759147979759,2021,0.4999999999999999,205.89,196.82,209.57,1.7177884615384615,-0.5022566086363489,Brinjals,190.32,0.9076821461233616,45.63570034456356,14.0,Historical,130,0.4102252673037888,0.543324946987793,2,193.17,-12.72,-6.178056243625236,5,178.65,,,,,,,,,,
-1.7999999999999812,1,0,2021-05-17,-0.0488169820663053,2021,0.4999999999999999,193.17,186.82,205.89,1.6305769230769231,-1.1394580303956403,Brinjals,183.27,0.907718659672412,36.56570034456357,16.0,Historical,137,0.5689954938439784,0.4543345601066058,3,178.65,-14.519999999999982,-7.516695138996729,5,169.58,,,,,,,,,,
5.44999999999999,1,0,2021-05-24,0.0106598201892355,2021,0.4999999999999999,178.65,178.22,193.17,1.6486538461538462,-0.2848714707109779,Brinjals,178.62,0.962069352485692,38.44570034456356,10.71,Historical,144,0.1490482446451768,0.3778028273887849,4,169.58,-9.069999999999991,-5.0769661349006405,5,171.46,,,,,,,,,,
10.949999999999989,1,1,2021-05-31,0.0602854220315439,2021,0.4999999999999999,169.58,175.48,178.65,1.7520192307692308,0.3153701968120188,Brinjals,177.39,1.0383519489400503,49.19570034456356,5.95,Historical,151,-0.2288248945204745,0.3534194613833395,5,171.46,1.879999999999996,1.1086212996815634,5,182.21,,,,,,,,,,
8.870000000000005,1,1,2021-06-07,0.0745652733742681,2021,1.2246467991473532e-16,171.46,179.9,169.58,1.887884615384616,1.839506172823285,Brinjals,179.61,1.0913841022790438,63.32570034456356,12.29,Historical,158,0.2744767236119266,0.3927532123848244,1,182.21,10.75,6.269683891286597,6,196.34,,,,,,,,,,
3.3799999999999955,1,0,2021-06-14,0.0546028354930786,2021,1.2246467991473532e-16,182.21,189.56,171.46,1.876036036036036,2.32670454543802,Brinjals,184.3,1.0985439966237602,75.22570034456356,16.09,Historical,165,0.576140154038287,0.4787179261120512,2,196.34,14.129999999999995,7.754788430931341,6,208.24,,,,,,,,,,
-2.2299999999999898,1,0,2021-06-21,0.0189922923307307,2021,1.2246467991473532e-16,196.34,199.86,182.21,1.9155855855855848,1.5237899917903033,Brinjals,189.53,1.0638947263084158,79.61570034456355,13.63,Historical,172,0.3808527753938537,0.5703780245996741,3,208.24,11.900000000000006,6.060914739737194,6,212.63,,,,,,,,,,
-7.510000000000019,1,0,2021-06-28,-0.0168630277269545,2021,1.2246467991473532e-16,208.24,206.47,196.34,1.8797297297297293,1.082047421900331,Brinjals,193.43,1.010558434639415,75.63570034456356,7.03,Historical,179,-0.1430889721887721,0.6292006703281386,4,212.63,4.389999999999986,2.1081444487130168,6,208.65,,,,,,,,,,
-8.369999999999976,1,0,2021-07-05,-0.0351465772026203,2021,-0.4999999999999997,212.63,207.51,208.24,1.8063963963963965,0.6100278551498046,Brinjals,195.08,0.966266685942846,67.49570034456355,5.07,Historical,186,-0.298683794198158,0.638455670563782,1,208.65,-3.9799999999999898,-1.871796077693641,7,200.51,,,,,,,,,,
-4.160000000000025,1,0,2021-07-12,-0.0336529237830614,2021,-0.4999999999999997,208.65,203.7,212.63,1.738918918918919,-0.8941176470471388,Brinjals,194.61,0.9475699558173786,60.00570034456357,8.73,Historical,193,-0.0081342796296108,0.6045503331620498,2,200.51,-8.140000000000015,-3.901270069494376,7,193.02,,,,,,,,,,
0.6500000000000341,1,0,2021-07-19,-0.0097548589932711,2021,-0.4999999999999997,200.51,198.28,208.65,1.7200900900900902,-0.7963163596880142,Brinjals,193.18,0.9629312083921728,57.91570034456356,8.05,Historical,200,-0.0621161566532753,0.5563175434724464,3,193.02,-7.489999999999981,-3.7354745399231866,7,190.93,,,,,,,,,,
5.399999999999977,1,1,2021-07-26,0.0270369358516603,2021,-0.4999999999999997,193.02,195.28,200.51,1.7717117117117116,0.1128372853629364,Brinjals,192.47,1.0070667759115115,63.64570034456355,4.21,Historical,207,-0.3669549916104395,0.5296204274080902,4,190.93,-2.0900000000000034,-1.0827893482540687,7,196.66,,,,,,,,,,
