,Unnamed: 0,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_(mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,CLASS
2898,2898,11122,"CARDOON,RAW",94.0,17,0.7,0.1,1.13,4.07,1.6,,70.0,0.7,42.0,23.0,400.0,170.0,0.17,0.231,0.256,0.2,2.0,0.02,0.03,0.3,0.338,0.116,68.0,0.0,68.0,68.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.011,0.018,0.041,0.0,178.0,"1 cup, shredded",,,51.0,1
2900,2900,11124,"CARROTS,RAW",88.29,41,0.93,0.24,0.97,9.58,2.8,4.74,33.0,0.3,12.0,35.0,320.0,69.0,0.24,0.045,0.143,0.1,5.9,0.066,0.058,0.983,0.273,0.138,19.0,0.0,19.0,19.0,8.8,0.0,16706.0,835.0,0.0,3477.0,8285.0,0.0,1.0,256.0,0.66,0.0,0.0,13.2,0.037,0.014,0.117,0.0,128.0,"1 cup, chopped",110.0,"1 cup, grated",11.0,11
2906,2906,11134,"CASSAVA,RAW",59.68,160,1.36,0.28,0.62,38.06,1.8,1.7,16.0,0.27,21.0,27.0,271.0,14.0,0.34,0.1,0.384,0.7,20.6,0.087,0.048,0.854,0.107,0.088,27.0,0.0,27.0,27.0,23.7,0.0,13.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.19,0.0,0.0,1.9,0.074,0.075,0.048,0.0,206.0,1 cup,408.0,1 root,16.0,10
2907,2907,11135,"CAULIFLOWER,RAW",92.07,25,1.92,0.28,0.76,4.97,2.0,1.91,22.0,0.42,15.0,44.0,299.0,30.0,0.27,0.039,0.155,0.6,48.2,0.05,0.06,0.507,0.667,0.184,57.0,0.0,57.0,57.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.0,15.5,0.13,0.034,0.031,0.0,107.0,"1 cup, chopped (1/2"" pieces)",13.0,1 floweret,61.0,11
2911,2911,11141,"CELERIAC,RAW",88.0,42,1.5,0.3,1.0,9.2,1.8,1.6,43.0,0.7,20.0,115.0,300.0,100.0,0.33,0.07,0.158,0.7,8.0,0.05,0.06,0.7,0.352,0.165,8.0,0.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36,0.0,0.0,41.0,0.079,0.058,0.148,0.0,156.0,1 cup,,,14.0,11
2913,2913,11143,"CELERY,RAW",95.43,16,0.69,0.17,0.75,2.97,1.6,1.34,40.0,0.2,11.0,24.0,260.0,80.0,0.13,0.035,0.103,0.4,3.1,0.021,0.057,0.32,0.246,0.074,36.0,0.0,36.0,36.0,6.1,0.0,449.0,22.0,0.0,0.0,270.0,0.0,0.0,283.0,0.27,0.0,0.0,29.3,0.042,0.032,0.079,0.0,101.0,"1 cup, chopped",110.0,1 NLEA serving,11.0,11
2915,2915,11145,"CELTUCE,RAW",94.5,18,0.85,0.3,0.7,3.65,1.7,,39.0,0.55,28.0,39.0,330.0,11.0,0.27,0.04,0.688,0.9,19.5,0.055,0.07,0.55,0.183,0.05,46.0,0.0,46.0,46.0,,0.0,3500.0,175.0,0.0,,,,,,,0.0,0.0,,,,,0.0,8.0,1 leaf,,,25.0,1
2916,2916,11147,"CHARD,SWISS,RAW",92.66,19,1.8,0.2,1.6,3.74,1.6,1.1,51.0,1.8,81.0,46.0,379.0,213.0,0.36,0.179,0.366,0.9,30.0,0.04,0.09,0.4,0.172,0.099,14.0,0.0,14.0,14.0,18.0,0.0,6116.0,306.0,0.0,45.0,3647.0,0.0,0.0,11000.0,1.89,0.0,0.0,830.0,0.03,0.04,0.07,0.0,36.0,1 cup,48.0,1 leaf,8.0,11
2918,2918,11149,"CHAYOTE,FRUIT,RAW",94.24,19,0.82,0.13,0.3,4.51,1.7,1.66,17.0,0.34,12.0,18.0,125.0,2.0,0.74,0.123,0.189,0.2,7.7,0.025,0.029,0.47,0.249,0.076,93.0,0.0,93.0,93.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.1,0.028,0.01,0.057,0.0,132.0,"1 cup,  (1"" pieces)",203.0,"1 chayote,  (5-3/4"")",1.0,11
2920,2920,11151,"CHICORY,WITLOOF,RAW",94.52,17,0.9,0.1,0.47,4.0,3.1,,19.0,0.24,10.0,26.0,211.0,2.0,0.16,0.051,0.1,0.2,2.8,0.062,0.027,0.16,0.145,0.042,37.0,0.0,37.0,37.0,,0.0,29.0,1.0,0.0,,,,,,,0.0,0.0,,0.024,0.002,0.044,0.0,53.0,1 head,45.0,.5 cup,11.0,1
