Price_Acceleration,Variety_encoded,High_Volatility_Regime,Start_Date,Month_Cos,Fuel_Impact_Ratio,Year,Month_Sin,Weekly_Price_lag2,Rolling_Mean_4w,Weekly_Price_lag3,Price_to_Fuel_Ratio,Fuel_Price,Price_Position_4w,Vegetable,Location_encoded,Rolling_Mean_13w,Price_to_Rolling_Mean_Ratio,Price_Deviation_From_Veg_Avg,Rolling_Std_4w,Data_Type,Seasonal_Price_Index,Day_of_Year,Rolling_Std_4w_scaled,Rolling_Mean_4w_scaled,Week_Number,Quarter_encoded,Weekly_Price_lag1,Price_Change_lag1,Price_Change_Pct_lag1,Trend_Consistency,Month,Season_encoded,Positive_Momentum,Weekly_Price,Fuel_Price_scaled
2.0400000000000063,2,0,2010-08-02,-0.5000000000000004,0.013078177084582674,2010,-0.8660254037844384,90.71,91.28,93.38,1.245753424657534,73.0,-0.04509283819568893,Cabbage,0,93.52,0.9962751971954426,-30.61693801684534,1.45,Historical,1.0401956671019563,214,-0.5860579042359012,-0.3958795961562564,1,2,90.08,-0.6299999999999955,-0.694521000992168,0.0,8,2,0,90.94,-0.37688860577329
1.4899999999999949,2,0,2010-08-09,-0.5000000000000004,0.022595057406478235,2010,-0.8660254037844384,90.08,91.04,90.71,1.2663013698630137,73.0,0.3043478260803388,Cabbage,0,94.54,1.015377855887522,-29.11693801684534,1.0,Historical,1.0401956671019563,221,-0.621781205207444,-0.3980153654414048,2,2,90.94,0.8599999999999994,0.954706927175843,0.3333333333333333,8,2,0,92.44,-0.37688860577329
0.6400000000000006,2,0,2010-08-16,-0.5000000000000004,0.01882005654905746,2010,-0.8660254037844384,90.94,91.79,90.08,1.2836986301369862,73.0,1.45901639336289,Cabbage,0,95.33,1.0209173112539491,-27.846938016845343,1.61,Historical,1.0401956671019563,228,-0.5733562861126861,-0.3913410864253158,3,2,92.44,1.5,1.6494391906751706,0.6666666666666666,8,2,1,93.71,-0.37688860577329
-0.23000000000000398,2,0,2010-08-23,-0.5000000000000004,0.004239251669747808,2010,-0.8660254037844384,92.44,92.77,90.94,1.2876712328767124,73.0,1.7109826588606434,Cabbage,0,95.72,1.0132585965290504,-27.556938016845336,1.4,Historical,1.0401956671019563,235,-0.590027159899406,-0.3826200285109595,4,2,93.71,1.269999999999996,1.3738641280830766,1.0,8,2,1,94.0,-0.37688860577329
-0.9799999999999898,2,0,2010-08-30,-0.5000000000000004,-0.010784027980165856,2010,-0.8660254037844384,93.71,93.35,92.44,1.2775342465753423,73.0,0.9610389609973621,Cabbage,0,95.62,0.9990358864488486,-28.29693801684533,0.68,Historical,1.0401956671019563,242,-0.6471844414538743,-0.3774585860718507,5,2,94.0,0.2900000000000062,0.3094653718920139,1.0,8,2,1,93.26,-0.37688860577329
-1.0300000000000011,2,0,2010-09-06,-1.8369701987210292e-16,-0.020564102714727247,2010,-1.0,94.0,93.21,93.71,1.2583561643835617,73.0,0.04487179486891445,Cabbage,0,95.02,0.9855165754747344,-29.696938016845337,0.95,Historical,0.9581251154344719,249,-0.6257504608709487,-0.3787044514881873,1,2,93.26,-0.7399999999999949,-0.787234042553186,0.6666666666666666,9,0,0,91.86,-0.37688860577329
-0.6600000000000108,2,0,2010-09-13,-1.8369701987210292e-16,-0.024605638717609964,2010,-1.0,93.26,92.33,94.0,1.235753424657534,73.0,-2.0784313723452645,Cabbage,0,94.04,0.977038882270118,-31.346938016845343,1.67,Historical,0.9581251154344719,256,-0.5685931793164803,-0.3865356055337318,2,2,91.86,-1.4000000000000057,-1.5011794981771454,0.3333333333333333,9,0,0,90.21,-0.37688860577329
-0.25,2,0,2010-09-20,-1.8369701987210292e-16,-0.022929754469372416,2010,-1.0,91.86,91.01,93.26,1.215068493150685,73.0,-0.9871794871373055,Cabbage,0,92.9,0.974618173827052,-32.85693801684533,1.98,Historical,0.9581251154344719,263,-0.543983794202751,-0.3982823366020484,3,2,90.21,-1.6500000000000057,-1.796211626387988,0.0,9,0,0,88.7,-0.37688860577329
0.14000000000001478,2,0,2010-09-27,-1.8369701987210292e-16,-0.017760343469574683,2010,-1.0,90.21,89.58,91.86,1.1993150684931506,73.0,-0.5592286501223364,Cabbage,0,91.86,0.9773386916722484,-34.00693801684534,1.87,Historical,0.9581251154344719,270,-0.5527161566624614,-0.4110079619260582,4,2,88.7,-1.509999999999991,-1.6738720762664794,0.0,9,0,0,87.55,-0.37688860577329
0.3599999999999852,2,0,2010-10-04,0.5000000000000001,-0.012517309091460867,2010,-0.8660254037844386,88.7,88.3,90.21,1.1883561643835616,73.0,-0.38461538460584,Cabbage,0,91.05,0.9824462061155154,-34.806938016845336,1.5,Historical,0.9581251154344719,277,-0.5820886485723965,-0.4223987314468502,1,3,87.55,-1.1500000000000057,-1.296505073280728,0.0,10,0,0,86.75,-0.37688860577329
0.3500000000000085,2,0,2010-10-11,0.5000000000000001,-0.00821128261812457,2010,-0.8660254037844386,87.55,87.31,88.7,1.1812328767123288,73.0,-0.2918918918840022,Cabbage,0,90.5,0.9876302829000114,-35.32693801684533,1.08,Historical,0.9581251154344719,284,-0.6154303961458364,-0.4312087797480877,2,3,86.75,-0.7999999999999972,-0.913763563677895,0.0,10,0,0,86.23,-0.37688860577329
