Date,Vegetable,Price,Year,Month,Week_of_Year,Quarter,Price_Lag_1,Price_Lag_2,Price_Lag_3,Price_Lag_4,Price_Lag_8,Price_Lag_12,Price_Lag_52,Rolling_Mean_4,Rolling_Mean_8,Rolling_Mean_12,Rolling_Std_4,Rolling_Min_4,Rolling_Max_4,Price_Change_1wk,Price_Change_Pct_1wk,Price_Change_4wk,Month_Avg_Price,Price_vs_Month_Avg,Is_Bitter_Gourd,Is_Brinjals,Is_Cabbage,Is_Carrot,Is_Pumpkin,Is_Tomatoes,Fuel_Price,Month_Sin,Month_Cos,Week_Sin,Week_Cos,Season,Fuel_x_Lag1,Fuel_x_Lag52,Price_Level_x_Volatility,Momentum_x_Volatility,Month_x_Price,Fuel_x_Month,Fuel_Lag_1,Fuel_Lag_2,Fuel_Lag_3,Fuel_Lag_4,Fuel_Rolling_Mean_4,Price_Change_12wk,Price_Change_Pct_4wk,Price_Change_Pct_12wk,Price_Acceleration,Volatility_Percentile,High_Volatility,Volatility_Change,Vegetable_Code
2017-08-07,Cabbage,142.33333333333334,2017,8,32,3,165.71428571428572,172.0,177.57575757575756,171.05263157894737,200.5405405405405,212.5,144.78,164.40584415584414,169.47438197767147,181.31228008898287,15.492208534130524,142.33333333333334,177.57575757575756,-23.38095238095238,-14.10919540229885,-28.719298245614027,180.09349960701834,-37.760166273685,0,0,1,0,0,0,121.0,-0.8660254037844384,-0.5000000000000004,-0.663122658240795,-0.7485107481711013,3,20051.428571428572,17518.38,2567.2802713702013,-362.22259001228986,1325.7142857142858,968.0,121.0,121.0,121.0,121.0,121.0,-70.16666666666666,-16.789743589743587,-33.01960784313726,-17.095238095238102,0.6456494325346784,0.0,10.63387885192936,2
2017-08-14,Cabbage,126.5,2017,8,33,3,142.33333333333334,165.71428571428572,172.0,177.57575757575756,197.5,199.41176470588235,147.21,151.63690476190476,160.59938197767147,175.236299696826,21.06536434125728,126.5,172.0,-15.833333333333345,-11.12412177985949,-51.075757575757564,180.09349960701834,-53.59349960701834,0,0,1,0,0,0,121.0,-0.8660254037844384,-0.5000000000000004,-0.7485107481711011,-0.6631226582407952,3,17222.333333333336,17812.41,2998.3035245722863,-333.53493540324047,1138.6666666666667,968.0,121.0,121.0,121.0,121.0,121.0,-72.91176470588235,-28.76279863481228,-36.563421828908545,7.547619047619035,0.7616645649432535,1.0,5.573155807126755,2
2017-08-21,Cabbage,118.6046511627907,2017,8,34,3,126.5,142.33333333333334,165.71428571428572,172.0,176.28571428571428,230.0,131.5,138.28806755260246,153.38924908730598,165.9533539603919,20.77624473036784,118.6046511627907,165.71428571428572,-7.895348837209298,-6.24138248000735,-53.3953488372093,180.09349960701834,-61.48884844422764,0,0,1,0,0,0,121.0,-0.8660254037844384,-0.5000000000000004,-0.8229838658936564,-0.5680647467311559,3,15306.5,15911.5,2628.1949583915316,-164.0356996734855,1012.0,968.0,121.0,121.0,121.0,121.0,121.0,-111.3953488372093,-31.043807463493778,-48.43276036400405,7.937984496124047,0.7515762925598991,1.0,-0.2891196108894398,2
2017-08-28,Cabbage,107.17948717948718,2017,8,35,3,118.6046511627907,126.5,142.33333333333334,165.71428571428572,153.33333333333334,190.0,115.41,123.6543679189028,147.62001831807524,159.0516445586825,14.76395052810978,107.17948717948718,142.33333333333334,-11.42516398330352,-9.63298139768728,-58.53479853479854,180.09349960701834,-72.91401242753116,0,0,1,0,0,0,121.0,-0.8660254037844384,-0.5000000000000004,-0.8854560256532096,-0.4647231720437691,3,14351.162790697676,13964.609999999999,1751.07320217116,-168.68055582503484,948.8372093023256,968.0,121.0,121.0,121.0,121.0,121.0,-82.82051282051282,-35.32272325375774,-43.58974358974359,-3.529815146094222,0.6292559899117276,0.0,-6.01229420225806,2
2017-09-04,Cabbage,117.17948717948718,2017,9,36,3,107.17948717948718,118.6046511627907,126.5,142.33333333333334,171.05263157894737,200.5405405405405,105.78,117.36590638044126,140.8858752681427,152.10489011192806,7.932297757538703,107.17948717948718,126.5,10.0,9.330143540669855,-25.15384615384616,169.68697126199646,-52.50748408250928,0,0,1,0,0,0,121.0,-1.0,-1.8369701987210297e-16,-0.9350162426854147,-0.3546048870425359,4,12968.71794871795,12799.380000000001,850.1796058079943,79.32297757538703,964.6153846153846,1089.0,121.0,121.0,121.0,121.0,121.0,-83.36105336105331,-17.67249144298325,-41.56818024742551,21.42516398330352,0.4136191677175284,0.0,-6.831652770571076,2
2017-09-11,Cabbage,120.54054054054056,2017,9,37,3,117.17948717948718,107.17948717948718,118.6046511627907,126.5,177.57575757575756,197.5,117.44,115.8760415155764,133.7564731387406,145.6916018236398,5.959079617976128,107.17948717948718,120.54054054054056,3.36105336105338,2.8682949908332995,-5.959459459459438,169.68697126199646,-49.1464307214559,0,0,1,0,0,0,121.0,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,4,14178.71794871795,14210.24,698.2818936961771,20.02878457878336,1054.6153846153848,1089.0,121.0,121.0,121.0,121.0,121.0,-76.95945945945944,-4.711035145817732,-38.96681491618199,-6.63894663894662,0.29508196721311475,0.0,-1.973218139562575,2
2017-09-18,Cabbage,115.22727272727272,2017,9,38,3,120.54054054054056,117.17948717948718,107.17948717948718,118.6046511627907,172.0,176.28571428571428,115.4,115.03169690669692,126.65988222964968,140.60339836043633,5.676143313311973,107.17948717948718,120.54054054054056,-5.313267813267842,-4.407867916836549,-3.377378435517983,169.68697126199646,-54.45969853472374,0,0,1,0,0,0,121.0,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,4,14585.405405405409,13963.400000000001,684.2053831722002,-30.158869570115993,1084.864864864865,1089.0,121.0,121.0,121.0,121.0,121.0,-61.05844155844156,-2.8475935828877086,-34.636068955355825,-8.674321174321221,0.27994955863808324,0.0,-0.28293630466415465,2
2017-09-25,Cabbage,147.57575757575756,2017,9,39,3,115.22727272727272,120.54054054054056,117.17948717948718,107.17948717948718,165.71428571428572,153.33333333333334,112.5,125.1307645057645,124.39256621233366,140.12360038063832,15.123379588008811,115.22727272727272,147.57575757575756,32.348484848484844,28.07363576594345,40.39627039627038,169.68697126199646,-22.11121368623889,0,0,1,0,0,0,121.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,4,13942.499999999998,13612.5,1742.6257843455605,489.218415460588,1037.0454545454545,1089.0,121.0,121.0,121.0,121.0,121.0,-5.757575757575779,37.69030013049151,-3.754940711462462,37.661752661752686,0.6343001261034048,0.0,9.447236274696838,2
2017-10-02,Cabbage,150.54054054054055,2017,10,40,4,147.57575757575756,115.22727272727272,120.54054054054056,117.17948717948718,142.33333333333334,171.05263157894737,111.36,133.47102784602785,125.41846711323456,138.4142594607711,18.16905581079476,115.22727272727272,150.54054054054055,2.964782964782984,2.008990510017217,33.361053361053365,166.6620778039219,-16.121537263381356,0,0,1,0,0,0,121.0,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232,4,17856.666666666664,13474.56,2681.3121757142567,53.86730715403559,1475.7575757575755,1210.0,121.0,121.0,121.0,121.0,121.0,-20.512091038406822,28.47004553787924,-11.991683991683988,-29.38370188370186,0.7023959646910467,0.0,3.045676222785948,2
2017-10-09,Cabbage,170.27777777777777,2017,10,41,4,150.54054054054055,147.57575757575756,115.22727272727272,120.54054054054056,126.5,177.57575757575756,112.5,145.90533715533715,130.89068933545678,137.8060944776061,22.79937801600436,115.22727272727272,170.27777777777777,19.737237237237224,13.110911629762608,49.73723723723721,166.6620778039219,3.615699973855868,0,0,1,0,0,0,121.0,-0.8660254037844386,0.5000000000000001,-0.9709418174260521,0.23931566428755738,4,18215.405405405407,13612.5,3432.2306905174137,449.996732763329,1505.4054054054054,1210.0,121.0,121.0,121.0,121.0,121.0,-7.297979797979792,41.261833582461364,-4.109783845278725,16.77245427245424,0.7868852459016393,1.0,4.630322205209602,2
