Date,Vegetable,Price,Year,Month,Week_of_Year,Quarter,Price_Lag_1,Price_Lag_2,Price_Lag_3,Price_Lag_4,Price_Lag_8,Price_Lag_12,Price_Lag_52,Rolling_Mean_4,Rolling_Mean_8,Rolling_Mean_12,Rolling_Std_4,Rolling_Min_4,Rolling_Max_4,Price_Change_1wk,Price_Change_Pct_1wk,Price_Change_4wk,Month_Avg_Price,Price_vs_Month_Avg,Is_Bitter_Gourd,Is_Brinjals,Is_Cabbage,Is_Carrot,Is_Pumpkin,Is_Tomatoes,Fuel_Price
2024-06-10,Cabbage,308.0,2024,6,24,2,260.6666666666667,255.7142857142857,219.7142857142857,223.2258064516129,329.5833333333333,544.0,390.0,261.0238095238095,253.68221800678003,288.35242200328406,36.24710481831304,219.7142857142857,308.0,47.333333333333314,18.158567774936053,84.7741935483871,209.0377177919693,98.9622822080307,0,0,1,0,0,0,333.0
2024-06-17,Cabbage,317.6666666666667,2024,6,25,2,308.0,260.6666666666667,255.7142857142857,219.7142857142857,296.25,452.41379310344826,320.3030303030303,285.5119047619048,256.35930134011335,277.1234948002189,31.85816011377986,255.7142857142857,317.6666666666667,9.666666666666686,3.1385281385281445,97.952380952381,209.0377177919693,108.6289488746974,0,0,1,0,0,0,333.0
2024-06-24,Cabbage,322.4,2024,6,26,2,317.6666666666667,308.0,260.6666666666667,255.7142857142857,230.7142857142857,342.0,323.7931034482759,302.18333333333334,267.82001562582764,275.4901614668856,28.31910100058764,260.6666666666667,322.4,4.733333333333292,1.490031479538287,66.68571428571428,209.0377177919693,113.36228220803068,0,0,1,0,0,0,333.0
2024-07-01,Cabbage,318.38709677419354,2024,7,27,3,322.4,317.6666666666667,308.0,260.6666666666667,235.17241379310343,306.7741935483871,315.7142857142857,316.61344086021506,278.2218509984639,276.4579034023695,6.108212232484121,308.0,322.4,-4.01290322580644,-1.244697030336985,57.72043010752685,193.1731304244674,125.21396634972616,0,0,1,0,0,0,317.0
2024-07-08,Cabbage,348.1481481481481,2024,7,28,3,318.38709677419354,322.4,317.6666666666667,308.0,223.2258064516129,329.5833333333333,309.7058823529412,326.6504778972521,293.8371437105308,278.004971303604,14.482273306620703,317.6666666666667,348.1481481481481,29.76105137395456,9.347442680776002,40.148148148148096,193.1731304244674,154.9750177236807,0,0,1,0,0,0,317.0
2024-07-15,Cabbage,395.0,2024,7,29,3,348.1481481481481,318.38709677419354,322.4,317.6666666666667,219.7142857142857,296.25,300.0,345.9838112305854,315.7478579962451,286.2341379702707,35.23750803106957,318.38709677419354,395.0,46.851851851851904,13.457446808510657,77.33333333333331,193.1731304244674,201.8268695755326,0,0,1,0,0,0,317.0
2024-07-22,Cabbage,416.4516129032258,2024,7,30,3,395.0,348.1481481481481,318.38709677419354,322.4,255.7142857142857,230.7142857142857,305.1515151515151,369.4967144563919,335.8400238948626,301.7122485693491,44.43397485674366,318.38709677419354,416.4516129032258,21.451612903225797,5.430788076766024,94.05161290322582,193.1731304244674,223.2784824787584,0,0,1,0,0,0,317.0
2024-07-29,Cabbage,423.9285714285714,2024,7,31,3,416.4516129032258,395.0,348.1481481481481,318.38709677419354,260.6666666666667,235.17241379310343,250.57142857142856,395.8820831199863,356.2477619901007,317.4419283723047,34.10287221761686,348.1481481481481,423.9285714285714,7.476958525345594,1.795396702445495,105.54147465437784,193.1731304244674,230.755441004104,0,0,1,0,0,0,317.0
2024-08-05,Cabbage,419.0,2024,8,32,3,423.9285714285714,416.4516129032258,395.0,348.1481481481481,308.0,223.2258064516129,260.0,413.5950460829493,370.1227619901007,333.75644450133694,12.779292960875422,395.0,423.9285714285714,-4.928571428571388,-1.1625947767480949,70.8518518518519,180.09349960701834,238.90650039298168,0,0,1,0,0,0,317.0
2024-08-12,Cabbage,370.625,2024,8,33,3,419.0,423.9285714285714,416.4516129032258,395.0,317.6666666666667,219.7142857142857,255.7142857142857,407.5012960829493,376.7425536567673,346.33233735847983,24.779325730895284,370.625,423.9285714285714,-48.375,-11.545346062052506,-24.375,180.09349960701834,190.53150039298168,0,0,1,0,0,0,317.0
2024-08-19,Cabbage,300.7407407407408,2024,8,34,3,370.625,419.0,423.9285714285714,416.4516129032258,322.4,255.7142857142857,285.7142857142857,378.57357804232805,374.03514624936,350.08454194401776,57.19120408091955,300.7407407407408,423.9285714285714,-69.88425925925918,-18.855786646680382,-115.71087216248496,180.09349960701834,120.64724113372247,0,0,1,0,0,0,317.0
2024-08-26,Cabbage,293.92857142857144,2024,8,35,3,300.7407407407408,370.625,419.0,423.9285714285714,318.38709677419354,260.6666666666667,254.3589743589744,346.07357804232805,370.9778305811572,352.8563673408432,59.70818813823593,293.92857142857144,419.0,-6.812169312169374,-2.2651301900070573,-129.99999999999994,180.09349960701834,113.8350718215531,0,0,1,0,0,0,317.0
2024-09-02,Cabbage,325.17241379310343,2024,9,36,3,293.92857142857144,300.7407407407408,370.625,419.0,348.1481481481481,308.0,251.7948717948718,322.6166814906039,368.1058637867766,354.2874018236018,34.70300110136711,293.92857142857144,370.625,31.243842364531982,10.629739808103226,-93.82758620689656,169.68697126199646,155.48544253110697,0,0,1,0,0,0,317.0
2024-09-09,Cabbage,285.88235294117646,2024,9,37,3,325.17241379310343,293.92857142857144,300.7407407407408,370.625,395.0,317.6666666666667,226.1764705882353,301.43101972589807,354.46615790442365,351.63870901314425,16.952660032848865,285.88235294117646,325.17241379310343,-39.29006085192697,-12.082839498471708,-84.74264705882354,169.68697126199646,116.19538167918,0,0,1,0,0,0,317.0
2024-09-16,Cabbage,292.0,2024,9,38,3,285.88235294117646,325.17241379310343,293.92857142857144,300.7407407407408,416.4516129032258,322.4,207.8947368421053,299.24583454071285,338.9097062915204,349.10537567981095,17.621441081693362,285.88235294117646,325.17241379310343,6.117647058823536,2.1399176954732537,-8.740740740740819,169.68697126199646,122.31302873800354,0,0,1,0,0,0,317.0
2024-09-23,Cabbage,313.92857142857144,2024,9,39,3,292.0,285.88235294117646,325.17241379310343,293.92857142857144,423.9285714285714,318.38709677419354,219.375,304.24583454071285,325.1597062915205,348.73383190100907,18.428736915490735,285.88235294117646,325.17241379310343,21.928571428571445,7.509784735812139,20.0,169.68697126199646,144.24160016657498,0,0,1,0,0,0,317.0
