vegetable,price,Badulla_actual_class,Hambantota_actual_class,Jaffna_actual_class,Kurunegala_actual_class,Matale_actual_class,Nuwara_Eliya_actual_class,Ratnapura_actual_class,Badulla_prob_drought,Hambantota_prob_drought,Jaffna_prob_drought,Kurunegala_prob_drought,Matale_prob_drought,Nuwara_Eliya_prob_drought,Ratnapura_prob_drought,Badulla_prob_flood_risk,Hambantota_prob_flood_risk,Jaffna_prob_flood_risk,Kurunegala_prob_flood_risk,Matale_prob_flood_risk,Nuwara_Eliya_prob_flood_risk,Ratnapura_prob_flood_risk,Badulla_prob_normal,Hambantota_prob_normal,Jaffna_prob_normal,Kurunegala_prob_normal,Matale_prob_normal,Nuwara_Eliya_prob_normal,Ratnapura_prob_normal,USD_LKR_avg,RateChange_avg_%,week_num,price_lag1,price_lag2,price_roll_mean_4,price_roll_std_4,avg_prob_drought,max_prob_drought,min_prob_drought,std_prob_drought,avg_prob_flood_risk,max_prob_flood_risk,min_prob_flood_risk,std_prob_flood_risk,avg_prob_normal,max_prob_normal,min_prob_normal,std_prob_normal,count_drought,count_normal,count_flood_risk,usd_x_avg_drought,usd_x_avg_flood,usd_x_avg_normal,week_x_avg_drought,week_x_avg_flood,USD_LKR_avg_sq,RateChange_avg_%_sq,week_num_sq,week_sin,week_cos,veg_2,veg_3,veg_4,veg_5,veg_6
1,104.0,0,0,1,0,0,0,0,0.0014285714285714,0.0,0.0,0.0014285714285714,0.0,0.0042857142857142,0.0,0.0,0.0028571428571428,0.4071428571428571,0.0042857142857142,0.0014285714285714,0.0,0.0,0.9985714285714286,0.9971428571428572,0.5928571428571427,0.9942857142857144,0.9985714285714286,0.9957142857142856,1.0,131.075,0.06,46,108.0,100.0,101.75,5.560275772537716,0.0010204081632652,0.0042857142857142,0.0,0.0015895675436119,0.0593877551020407,0.4071428571428571,0.0,0.1533544583411258,0.9395918367346938,1.0,0.5928571428571427,0.1529076780854798,0,6,1,0.1337499999999973,7.784249999999996,123.15699999999998,0.0469387755102031,2.7318367346938763,17180.655624999996,0.0036,2116,-0.6631226582407955,0.7485107481711007,0,0,0,0,0
2,40.0,0,0,1,0,0,0,0,0.0014285714285714,0.0,0.0,0.0014285714285714,0.0,0.0042857142857142,0.0,0.0,0.0028571428571428,0.4071428571428571,0.0042857142857142,0.0014285714285714,0.0,0.0,0.9985714285714286,0.9971428571428572,0.5928571428571427,0.9942857142857144,0.9985714285714286,0.9957142857142856,1.0,131.075,0.06,46,51.0,53.0,52.0,9.831920802501768,0.0010204081632652,0.0042857142857142,0.0,0.0015895675436119,0.0593877551020407,0.4071428571428571,0.0,0.1533544583411258,0.9395918367346938,1.0,0.5928571428571427,0.1529076780854798,0,6,1,0.1337499999999973,7.784249999999996,123.15699999999998,0.0469387755102031,2.7318367346938763,17180.655624999996,0.0036,2116,-0.6631226582407955,0.7485107481711007,1,0,0,0,0
3,63.0,0,0,1,0,0,0,0,0.0014285714285714,0.0,0.0,0.0014285714285714,0.0,0.0042857142857142,0.0,0.0,0.0028571428571428,0.4071428571428571,0.0042857142857142,0.0014285714285714,0.0,0.0,0.9985714285714286,0.9971428571428572,0.5928571428571427,0.9942857142857144,0.9985714285714286,0.9957142857142856,1.0,131.075,0.06,46,65.2,37.4,50.9,15.270450768286766,0.0010204081632652,0.0042857142857142,0.0,0.0015895675436119,0.0593877551020407,0.4071428571428571,0.0,0.1533544583411258,0.9395918367346938,1.0,0.5928571428571427,0.1529076780854798,0,6,1,0.1337499999999973,7.784249999999996,123.15699999999998,0.0469387755102031,2.7318367346938763,17180.655624999996,0.0036,2116,-0.6631226582407955,0.7485107481711007,0,1,0,0,0
4,152.0,0,0,1,0,0,0,0,0.0014285714285714,0.0,0.0,0.0014285714285714,0.0,0.0042857142857142,0.0,0.0,0.0028571428571428,0.4071428571428571,0.0042857142857142,0.0014285714285714,0.0,0.0,0.9985714285714286,0.9971428571428572,0.5928571428571427,0.9942857142857144,0.9985714285714286,0.9957142857142856,1.0,131.075,0.06,46,188.0,104.0,137.25,40.57400645733664,0.0010204081632652,0.0042857142857142,0.0,0.0015895675436119,0.0593877551020407,0.4071428571428571,0.0,0.1533544583411258,0.9395918367346938,1.0,0.5928571428571427,0.1529076780854798,0,6,1,0.1337499999999973,7.784249999999996,123.15699999999998,0.0469387755102031,2.7318367346938763,17180.655624999996,0.0036,2116,-0.6631226582407955,0.7485107481711007,0,0,1,0,0
5,24.0,0,0,1,0,0,0,0,0.0014285714285714,0.0,0.0,0.0014285714285714,0.0,0.0042857142857142,0.0,0.0,0.0028571428571428,0.4071428571428571,0.0042857142857142,0.0014285714285714,0.0,0.0,0.9985714285714286,0.9971428571428572,0.5928571428571427,0.9942857142857144,0.9985714285714286,0.9957142857142856,1.0,131.075,0.06,46,34.0,29.0,29.0,4.082482904638468,0.0010204081632652,0.0042857142857142,0.0,0.0015895675436119,0.0593877551020407,0.4071428571428571,0.0,0.1533544583411258,0.9395918367346938,1.0,0.5928571428571427,0.1529076780854798,0,6,1,0.1337499999999973,7.784249999999996,123.15699999999998,0.0469387755102031,2.7318367346938763,17180.655624999996,0.0036,2116,-0.6631226582407955,0.7485107481711007,0,0,0,1,0
6,116.0,0,0,1,0,0,0,0,0.0014285714285714,0.0,0.0,0.0014285714285714,0.0,0.0042857142857142,0.0,0.0,0.0028571428571428,0.4071428571428571,0.0042857142857142,0.0014285714285714,0.0,0.0,0.9985714285714286,0.9971428571428572,0.5928571428571427,0.9942857142857144,0.9985714285714286,0.9957142857142856,1.0,131.075,0.06,46,104.0,77.0,101.25,16.918924315688614,0.0010204081632652,0.0042857142857142,0.0,0.0015895675436119,0.0593877551020407,0.4071428571428571,0.0,0.1533544583411258,0.9395918367346938,1.0,0.5928571428571427,0.1529076780854798,0,6,1,0.1337499999999973,7.784249999999996,123.15699999999998,0.0469387755102031,2.7318367346938763,17180.655624999996,0.0036,2116,-0.6631226582407955,0.7485107481711007,0,0,0,0,1
1,108.0,1,1,1,1,1,1,1,0.0,0.0057142857142857,0.0,0.0028571428571428,0.0028571428571428,0.0014285714285714,0.0042857142857142,0.5314285714285715,0.47,0.1442857142857143,0.4142857142857142,0.4142857142857142,0.2285714285714286,0.2457142857142857,0.4685714285714285,0.5242857142857142,0.8557142857142858,0.5828571428571429,0.5828571428571429,0.7699999999999999,0.75,131.15,0.06,47,104.0,108.0,105.0,3.829708431025809,0.0024489795918367,0.0057142857142857,0.0,0.0021371806901231,0.3497959183673468,0.5314285714285715,0.1442857142857143,0.1434806122896492,0.6477551020408162,0.8557142857142858,0.4685714285714285,0.1440022135668328,0,0,7,0.3211836734693832,45.87573469387754,84.95308163265305,0.1151020408163249,16.440408163265303,17200.322500000002,0.0036,2209,-0.5680647467311559,0.8229838658936564,0,0,0,0,0
2,52.0,1,1,1,1,1,1,1,0.0,0.0057142857142857,0.0,0.0028571428571428,0.0028571428571428,0.0014285714285714,0.0042857142857142,0.5314285714285715,0.47,0.1442857142857143,0.4142857142857142,0.4142857142857142,0.2285714285714286,0.2457142857142857,0.4685714285714285,0.5242857142857142,0.8557142857142858,0.5828571428571429,0.5828571428571429,0.7699999999999999,0.75,131.15,0.06,47,40.0,51.0,49.0,6.05530070819504,0.0024489795918367,0.0057142857142857,0.0,0.0021371806901231,0.3497959183673468,0.5314285714285715,0.1442857142857143,0.1434806122896492,0.6477551020408162,0.8557142857142858,0.4685714285714285,0.1440022135668328,0,0,7,0.3211836734693832,45.87573469387754,84.95308163265305,0.1151020408163249,16.440408163265303,17200.322500000002,0.0036,2209,-0.5680647467311559,0.8229838658936564,1,0,0,0,0
3,62.0,1,1,1,1,1,1,1,0.0,0.0057142857142857,0.0,0.0028571428571428,0.0028571428571428,0.0014285714285714,0.0042857142857142,0.5314285714285715,0.47,0.1442857142857143,0.4142857142857142,0.4142857142857142,0.2285714285714286,0.2457142857142857,0.4685714285714285,0.5242857142857142,0.8557142857142858,0.5828571428571429,0.5828571428571429,0.7699999999999999,0.75,131.15,0.06,47,63.0,65.2,56.9,13.068537281068195,0.0024489795918367,0.0057142857142857,0.0,0.0021371806901231,0.3497959183673468,0.5314285714285715,0.1442857142857143,0.1434806122896492,0.6477551020408162,0.8557142857142858,0.4685714285714285,0.1440022135668328,0,0,7,0.3211836734693832,45.87573469387754,84.95308163265305,0.1151020408163249,16.440408163265303,17200.322500000002,0.0036,2209,-0.5680647467311559,0.8229838658936564,0,1,0,0,0
4,153.0,1,1,1,1,1,1,1,0.0,0.0057142857142857,0.0,0.0028571428571428,0.0028571428571428,0.0014285714285714,0.0042857142857142,0.5314285714285715,0.47,0.1442857142857143,0.4142857142857142,0.4142857142857142,0.2285714285714286,0.2457142857142857,0.4685714285714285,0.5242857142857142,0.8557142857142858,0.5828571428571429,0.5828571428571429,0.7699999999999999,0.75,131.15,0.06,47,152.0,188.0,149.25,34.49999999999993,0.0024489795918367,0.0057142857142857,0.0,0.0021371806901231,0.3497959183673468,0.5314285714285715,0.1442857142857143,0.1434806122896492,0.6477551020408162,0.8557142857142858,0.4685714285714285,0.1440022135668328,0,0,7,0.3211836734693832,45.87573469387754,84.95308163265305,0.1151020408163249,16.440408163265303,17200.322500000002,0.0036,2209,-0.5680647467311559,0.8229838658936564,0,0,1,0,0
